Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
25–34,Female,Postgraduate,18797.0,Central/Other,1–2 hours,"Google Ads, SMS",Electronics,Likely,"Friend recommendations, Product reviews",Yes,Very likely,311.0,No,Very comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,4.0,Excited
25–34,Female,High school,11498.0,East,2+ hours,"Email, Google Ads, Other",Apparel,Likely,"Product reviews, Visual appeal",Yes,Very likely,1623.0,Maybe,Comfortable,"Lack of trust, Others",Always,3.0,Disinterested
25–34,Male,Undergraduate,29022.0,West,2+ hours,"Email, Google Ads",Services,Likely,"Friend recommendations, Product reviews",Yes,Neutral,1888.0,,Neutral,Not enough discounts,Sometimes,3.0,Disinterested
35–44,Female,Postgraduate,13910.0,East,30–60 mins,Instagram,Groceries,Neutral,"Friend recommendations, Product reviews",Yes,Neutral,705.0,No,Uncomfortable,"Not enough discounts, Others, Slow delivery",Sometimes,1.0,Open but cautious
18–24,Male,Undergraduate,18365.0,West,1–2 hours,"Facebook, Instagram",Groceries,Likely,"Brand reputation, Personalization",Yes,Neutral,2779.0,Maybe,Comfortable,Slow delivery,Always,2.0,Neutral
25–34,Female,Postgraduate,22582.0,Central/Other,30–60 mins,Facebook,Services,Very unlikely,"Personalization, Visual appeal",Yes,Likely,1141.0,Yes,Comfortable,"Not enough discounts, Too many choices",Rarely,1.0,
25–34,Non-binary/Other,High school,12692.0,Central/Other,<30 mins,"Facebook, Google Ads",Groceries,Very likely,"Product reviews, Visual appeal",Yes,Likely,241.0,Yes,Uncomfortable,"Slow delivery, Too many choices",Never,4.0,Skeptical
25–34,Female,Undergraduate,9390.0,North,1–2 hours,"Email, Google Ads, Other",Other,Likely,"Friend recommendations, Product reviews",Yes,Unlikely,1525.0,Maybe,Neutral,"Lack of trust, Others",Often,3.0,Neutral
35–44,Male,Undergraduate,231300.0,West,<30 mins,"Google Ads, Other, SMS",Groceries,Neutral,"Product reviews, Visual appeal",No,Very likely,3504.0,No,Comfortable,"Complicated checkout, Lack of trust",Often,4.0,Excited
18–24,Female,Undergraduate,53129.0,West,30–60 mins,"Facebook, Instagram",Services,Likely,"Friend recommendations, Visual appeal",No,Likely,992.0,Yes,Comfortable,Others,Sometimes,5.0,Neutral
25–34,Female,Other,34227.0,South,30–60 mins,"Google Ads, Other, SMS",Electronics,Likely,"Brand reputation, Friend recommendations",Yes,Very likely,1279.0,Yes,Comfortable,"Others, Slow delivery",Sometimes,5.0,Neutral
25–34,Male,Undergraduate,33862.0,South,1–2 hours,"Email, Facebook, Google Ads",Apparel,Very unlikely,"Discounts/Offers, Product reviews",No,Likely,2781.0,No,Very comfortable,"Complicated checkout, Lack of trust, Others",Often,4.0,Open but cautious
Under 18,Female,Undergraduate,35476.0,South,1–2 hours,Facebook,Electronics,Very likely,"Personalization, Product reviews",No,Unlikely,235.0,Yes,Very comfortable,Slow delivery,Sometimes,2.0,Skeptical
35–44,Male,High school,10286.0,East,30–60 mins,"Email, Facebook",Apparel,Neutral,"Personalization, Visual appeal",No,Unlikely,354.0,Yes,Neutral,Complicated checkout,Rarely,2.0,Skeptical
18–24,Female,Undergraduate,15407.0,South,2+ hours,SMS,Electronics,Neutral,"Discounts/Offers, Personalization",Yes,Unlikely,1153.0,Maybe,Neutral,"Not enough discounts, Slow delivery",Never,1.0,Open but cautious
18–24,Male,Undergraduate,28340.0,West,30–60 mins,"Facebook, Google Ads, Instagram",Electronics,Unlikely,"Personalization, Visual appeal",Yes,Unlikely,725.0,Maybe,Comfortable,"Lack of trust, Slow delivery",Sometimes,1.0,Neutral
45–54,Male,Other,9032.0,East,30–60 mins,"Instagram, Other",Groceries,Neutral,"Brand reputation, Discounts/Offers",No,Neutral,1155.0,No,Comfortable,Others,Often,1.0,Disinterested
55+,Male,Undergraduate,13312.0,Central/Other,1–2 hours,Facebook,Apparel,Likely,"Brand reputation, Personalization",No,Likely,599.0,No,Very comfortable,Slow delivery,Often,3.0,Open but cautious
45–54,Female,Undergraduate,12388.0,North,1–2 hours,Google Ads,Apparel,Neutral,"Personalization, Product reviews",No,Likely,2320.0,Maybe,Very uncomfortable,"Lack of trust, Others, Slow delivery",Always,2.0,Open but cautious
25–34,Male,High school,15122.0,South,2+ hours,"Facebook, Other, SMS",Electronics,Likely,"Discounts/Offers, Product reviews",No,Neutral,1579.0,Yes,Neutral,"Others, Slow delivery",Often,4.0,Excited
18–24,Female,High school,78258.0,Central/Other,30–60 mins,"Instagram, Other, SMS",Other,Neutral,"Discounts/Offers, Friend recommendations",Yes,Very unlikely,1469.0,Yes,Neutral,Complicated checkout,Sometimes,5.0,Skeptical
35–44,Male,High school,11588.0,West,1–2 hours,"Google Ads, Other",Electronics,Very likely,"Personalization, Visual appeal",Yes,Unlikely,996.0,No,Neutral,Others,Sometimes,2.0,Neutral
25–34,Male,Undergraduate,35947.0,North,1–2 hours,"Email, Instagram, SMS",Electronics,Likely,"Friend recommendations, Product reviews",Yes,Very unlikely,926.0,Maybe,Uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Often,2.0,Excited
18–24,Female,Postgraduate,11748.0,Central/Other,2+ hours,Google Ads,Groceries,Likely,"Personalization, Product reviews",Yes,Neutral,463.0,Yes,Comfortable,,Sometimes,2.0,Disinterested
25–34,Female,Undergraduate,93046.0,North,30–60 mins,"Email, Google Ads, Instagram",Groceries,Unlikely,"Discounts/Offers, Friend recommendations",No,Neutral,2398.0,Maybe,Uncomfortable,"Lack of trust, Too many choices",Sometimes,1.0,Neutral
Under 18,Male,Undergraduate,9977.0,South,1–2 hours,"Instagram, SMS",Apparel,Neutral,"Discounts/Offers, Friend recommendations",Yes,Very unlikely,1433.0,No,Comfortable,"Complicated checkout, Others",Never,3.0,Skeptical
45–54,Female,High school,13860.0,West,1–2 hours,"Facebook, SMS",Electronics,Neutral,"Discounts/Offers, Visual appeal",Yes,Neutral,810.0,Yes,Comfortable,"Complicated checkout, Not enough discounts",Always,4.0,Excited
25–34,Female,Postgraduate,31564.0,North,30–60 mins,"Email, Facebook, Other",Apparel,Likely,"Friend recommendations, Visual appeal",No,Unlikely,1686.0,Yes,Neutral,Lack of trust,Sometimes,1.0,Open but cautious
35–44,Female,Undergraduate,26793.0,Central/Other,30–60 mins,"Email, Facebook, Other",Other,Very likely,"Brand reputation, Product reviews",Yes,Neutral,1669.0,Yes,Neutral,Lack of trust,Sometimes,3.0,Neutral
25–34,Male,High school,16714.0,South,30–60 mins,"Google Ads, Instagram",Apparel,Unlikely,"Friend recommendations, Product reviews",No,Neutral,1397.0,Maybe,Comfortable,Too many choices,Sometimes,2.0,Open but cautious
25–34,Male,Undergraduate,17727.0,South,1–2 hours,Other,Electronics,Unlikely,"Product reviews, Visual appeal",No,Neutral,2681.0,Maybe,Comfortable,"Lack of trust, Not enough discounts, Slow delivery",Sometimes,3.0,Neutral
25–34,Female,Undergraduate,14183.0,Central/Other,2+ hours,"Facebook, Google Ads, SMS",Apparel,Very likely,"Discounts/Offers, Friend recommendations",Yes,Neutral,2082.0,Yes,Very comfortable,"Lack of trust, Others, Too many choices",Rarely,1.0,Skeptical
18–24,Male,High school,16676.0,Central/Other,1–2 hours,"Email, Facebook, Google Ads",Apparel,Neutral,"Discounts/Offers, Visual appeal",Yes,Very likely,1613.0,Maybe,Very comfortable,"Complicated checkout, Too many choices",Often,2.0,Open but cautious
55+,Female,Undergraduate,13171.0,North,1–2 hours,Facebook,Groceries,Likely,"Discounts/Offers, Friend recommendations",Yes,Unlikely,906.0,Maybe,,Slow delivery,Rarely,1.0,Skeptical
35–44,Female,Undergraduate,12490.0,East,1–2 hours,SMS,Apparel,Likely,"Brand reputation, Visual appeal",Yes,Neutral,861.0,No,Comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Rarely,4.0,Excited
45–54,Female,High school,14526.0,South,<30 mins,"Email, Facebook, SMS",Apparel,Likely,"Brand reputation, Personalization",Yes,Likely,2073.0,No,Very comfortable,"Complicated checkout, Others",Sometimes,2.0,Open but cautious
45–54,Female,Postgraduate,13183.0,North,30–60 mins,"Email, Other",Electronics,Unlikely,"Personalization, Product reviews",Yes,Neutral,2269.0,No,Comfortable,Lack of trust,Sometimes,3.0,Excited
25–34,Prefer not to say,Postgraduate,32451.0,Central/Other,30–60 mins,"Facebook, Google Ads",Apparel,Unlikely,"Brand reputation, Product reviews",No,Very likely,3725.0,No,Very comfortable,Lack of trust,Always,1.0,Open but cautious
45–54,Male,Undergraduate,70681.0,North,30–60 mins,Google Ads,Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,1116.0,Yes,Very uncomfortable,Complicated checkout,Often,5.0,Open but cautious
18–24,Female,Undergraduate,30069.0,Central/Other,30–60 mins,"Email, Instagram, Other",Services,Very likely,"Discounts/Offers, Personalization",No,Neutral,1131.0,No,Very comfortable,Not enough discounts,Always,3.0,Skeptical
18–24,Male,Undergraduate,9212.0,West,1–2 hours,SMS,Groceries,Neutral,"Personalization, Product reviews",Yes,Very unlikely,435.0,Yes,Neutral,"Lack of trust, Others",Rarely,3.0,Neutral
Under 18,Male,Undergraduate,10462.0,Central/Other,30–60 mins,Google Ads,Services,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,2671.0,Maybe,Comfortable,Too many choices,Never,2.0,Open but cautious
25–34,Female,Undergraduate,106419.0,Central/Other,30–60 mins,"Google Ads, Instagram, SMS",Services,Likely,,No,Unlikely,1378.0,Maybe,Uncomfortable,Complicated checkout,Sometimes,3.0,Neutral
25–34,Female,High school,13631.0,Central/Other,30–60 mins,"Other, SMS",Groceries,Very likely,"Discounts/Offers, Personalization",Yes,Unlikely,2768.0,Yes,Neutral,"Complicated checkout, Not enough discounts, Others",Rarely,1.0,Excited
25–34,Prefer not to say,Undergraduate,9204.0,East,<30 mins,,Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,392.0,Yes,Neutral,Complicated checkout,Often,5.0,Excited
45–54,Female,Postgraduate,20288.0,Central/Other,2+ hours,"Facebook, Google Ads, Other",Groceries,Very likely,"Discounts/Offers, Product reviews",No,Neutral,991.0,No,Neutral,"Slow delivery, Too many choices",Sometimes,4.0,Neutral
25–34,Male,Undergraduate,38292.0,South,2+ hours,"Facebook, Other",Services,Very unlikely,"Product reviews, Visual appeal",No,Very unlikely,949.0,No,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Always,5.0,Neutral
25–34,Male,High school,21162.0,South,1–2 hours,"Instagram, SMS",Groceries,Unlikely,"Personalization, Product reviews",No,Likely,1679.0,Yes,Comfortable,"Others, Slow delivery, Too many choices",Rarely,1.0,Neutral
25–34,Female,Postgraduate,12130.0,North,<30 mins,Google Ads,Electronics,Likely,"Discounts/Offers, Personalization",Yes,Neutral,1330.0,No,Very uncomfortable,"Complicated checkout, Slow delivery, Too many choices",Sometimes,2.0,Open but cautious
18–24,Male,High school,10241.0,East,1–2 hours,Email,Apparel,Likely,"Friend recommendations, Product reviews",Yes,Unlikely,1475.0,Yes,Neutral,Lack of trust,Sometimes,1.0,Neutral
45–54,Male,Undergraduate,95132.0,North,2+ hours,"Email, SMS",Services,Neutral,"Friend recommendations, Visual appeal",No,Neutral,726.0,Yes,Uncomfortable,"Complicated checkout, Slow delivery, Too many choices",Rarely,3.0,Neutral
18–24,Male,High school,19953.0,South,1–2 hours,"Google Ads, Other, SMS",Groceries,Neutral,"Brand reputation, Visual appeal",No,Likely,1359.0,Yes,Comfortable,"Complicated checkout, Slow delivery, Too many choices",Sometimes,2.0,Disinterested
55+,Male,Undergraduate,25984.0,South,<30 mins,Email,Other,Likely,"Brand reputation, Discounts/Offers",Yes,Neutral,1663.0,Yes,Neutral,Not enough discounts,Sometimes,4.0,Excited
35–44,Male,Postgraduate,36528.0,West,1–2 hours,"Email, Google Ads, Other",Apparel,Unlikely,"Brand reputation, Discounts/Offers",No,Neutral,1080.0,Maybe,Neutral,"Complicated checkout, Not enough discounts",Sometimes,4.0,Open but cautious
18–24,Male,Undergraduate,28208.0,Central/Other,2+ hours,Email,Apparel,Neutral,"Brand reputation, Visual appeal",Yes,Neutral,792.0,Maybe,Neutral,"Complicated checkout, Lack of trust",Sometimes,1.0,Neutral
Under 18,Male,High school,19470.0,South,1–2 hours,"Email, SMS",Apparel,Likely,"Personalization, Product reviews",Yes,Neutral,511.0,No,Comfortable,"Not enough discounts, Slow delivery",Never,3.0,Disinterested
45–54,Male,Postgraduate,18567.0,North,1–2 hours,Facebook,Groceries,Likely,"Personalization, Product reviews",Yes,Very likely,1856.0,No,Uncomfortable,Others,Sometimes,4.0,Excited
35–44,Prefer not to say,Postgraduate,20245.0,North,30–60 mins,"Google Ads, Instagram, SMS",Apparel,Likely,"Brand reputation, Product reviews",Yes,Likely,1389.0,Yes,Uncomfortable,"Complicated checkout, Lack of trust, Slow delivery",Rarely,5.0,Open but cautious
35–44,Male,Postgraduate,57311.0,Central/Other,1–2 hours,"Instagram, Other, SMS",Apparel,Neutral,"Brand reputation, Personalization",Yes,Very unlikely,3909.0,No,Uncomfortable,Others,Never,2.0,Open but cautious
35–44,Male,High school,43179.0,Central/Other,<30 mins,Instagram,Other,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,2047.0,Yes,Very comfortable,"Lack of trust, Slow delivery, Too many choices",Rarely,5.0,Open but cautious
18–24,Female,Undergraduate,11159.0,West,1–2 hours,"Email, Google Ads",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Likely,383.0,No,Neutral,"Complicated checkout, Not enough discounts",Rarely,4.0,Open but cautious
25–34,Male,Other,10176.0,East,,Other,Services,Likely,"Discounts/Offers, Friend recommendations",No,Very unlikely,398.0,Maybe,Comfortable,"Lack of trust, Too many choices",Sometimes,4.0,Excited
18–24,Female,Postgraduate,45003.0,North,30–60 mins,"Facebook, Instagram",Electronics,Likely,"Brand reputation, Visual appeal",No,Very likely,1689.0,Yes,Uncomfortable,"Lack of trust, Slow delivery",Rarely,1.0,Open but cautious
45–54,Female,High school,20887.0,Central/Other,30–60 mins,"Email, Instagram",Services,Neutral,"Personalization, Visual appeal",No,Very likely,1702.0,Maybe,Neutral,"Not enough discounts, Too many choices",Sometimes,1.0,Open but cautious
35–44,Male,High school,59783.0,North,1–2 hours,"Email, Other, SMS",Electronics,Unlikely,"Product reviews, Visual appeal",No,Very unlikely,1027.0,Yes,Uncomfortable,"Lack of trust, Others",Sometimes,2.0,Excited
25–34,Male,Undergraduate,17530.0,Central/Other,<30 mins,"Facebook, Other",Services,Unlikely,"Product reviews, Visual appeal",Yes,Very likely,1833.0,Yes,Very uncomfortable,"Others, Slow delivery, Too many choices",Sometimes,1.0,Open but cautious
18–24,Female,Postgraduate,32143.0,South,1–2 hours,Google Ads,Services,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,1383.0,Yes,Neutral,Others,Often,3.0,Excited
25–34,Female,Undergraduate,22655.0,North,1–2 hours,Google Ads,Apparel,Likely,"Brand reputation, Friend recommendations",No,Likely,1190.0,Yes,Neutral,"Not enough discounts, Others",Sometimes,2.0,
25–34,Male,Undergraduate,31985.0,South,30–60 mins,"Google Ads, Instagram, Other",Apparel,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,2013.0,Yes,Uncomfortable,Slow delivery,Sometimes,3.0,Open but cautious
35–44,Female,High school,19393.0,North,<30 mins,Facebook,Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,158.0,Yes,Comfortable,"Complicated checkout, Lack of trust, Slow delivery",Often,1.0,Skeptical
35–44,Male,Undergraduate,9371.0,East,<30 mins,"Email, Google Ads",Groceries,Likely,"Personalization, Visual appeal",Yes,Neutral,2561.0,Yes,Very comfortable,"Complicated checkout, Slow delivery",,2.0,Open but cautious
45–54,Prefer not to say,Postgraduate,27136.0,West,2+ hours,"Email, SMS",Services,Neutral,"Discounts/Offers, Personalization",No,Likely,3136.0,Yes,Neutral,Lack of trust,Sometimes,4.0,
25–34,Male,Undergraduate,12321.0,South,1–2 hours,Other,Electronics,Neutral,"Friend recommendations, Personalization",Yes,Very unlikely,414.0,No,Comfortable,"Lack of trust, Slow delivery",Sometimes,5.0,Open but cautious
18–24,Female,Postgraduate,16655.0,Central/Other,30–60 mins,"Email, Google Ads, Other",Groceries,Neutral,"Product reviews, Visual appeal",No,Neutral,1694.0,Maybe,Very comfortable,Lack of trust,Sometimes,4.0,Open but cautious
35–44,Female,Postgraduate,88636.0,East,<30 mins,Instagram,Apparel,Unlikely,"Discounts/Offers, Product reviews",Yes,Unlikely,531.0,Yes,Comfortable,Others,Often,3.0,Open but cautious
35–44,Female,High school,17301.0,North,1–2 hours,"Google Ads, Instagram",Services,Unlikely,"Discounts/Offers, Friend recommendations",No,Neutral,701.0,Yes,Neutral,Complicated checkout,Rarely,4.0,Neutral
25–34,Female,Undergraduate,56132.0,South,2+ hours,"Email, Google Ads",Other,Likely,"Friend recommendations, Visual appeal",,Neutral,712.0,Yes,Comfortable,"Complicated checkout, Not enough discounts",Rarely,4.0,Open but cautious
35–44,Male,Undergraduate,9131.0,North,2+ hours,"Email, Instagram",Apparel,Very likely,,No,Neutral,1387.0,Maybe,Uncomfortable,"Lack of trust, Others",Rarely,5.0,Open but cautious
25–34,Male,Postgraduate,30771.0,North,1–2 hours,"Facebook, Instagram",Electronics,Unlikely,"Brand reputation, Personalization",Yes,Neutral,1293.0,No,,Lack of trust,,5.0,Excited
25–34,Male,Undergraduate,99322.0,North,<30 mins,"Other, SMS",Apparel,Very unlikely,"Personalization, Visual appeal",Yes,Unlikely,939.0,No,Neutral,Too many choices,Rarely,4.0,Neutral
25–34,Male,Undergraduate,11367.0,West,<30 mins,"Google Ads, Instagram, Other",Electronics,Likely,"Brand reputation, Personalization",No,Unlikely,265.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,5.0,Open but cautious
Under 18,Female,Postgraduate,8817.0,West,<30 mins,Facebook,Electronics,Neutral,"Brand reputation, Visual appeal",Yes,Very unlikely,808.0,No,Neutral,"Complicated checkout, Slow delivery",Often,4.0,Excited
18–24,Male,Undergraduate,17291.0,Central/Other,30–60 mins,Email,Apparel,Likely,"Friend recommendations, Personalization",Yes,Neutral,2560.0,Yes,Uncomfortable,Slow delivery,Often,2.0,Open but cautious
Under 18,Male,Postgraduate,11402.0,South,<30 mins,"Email, Other, SMS",Electronics,Likely,"Personalization, Visual appeal",Yes,Very likely,1692.0,Maybe,Comfortable,"Lack of trust, Others",Sometimes,4.0,Open but cautious
35–44,Non-binary/Other,Undergraduate,26637.0,,30–60 mins,"Email, Facebook, SMS",Apparel,Very likely,"Friend recommendations, Visual appeal",No,Unlikely,568.0,Maybe,Neutral,"Complicated checkout, Others, Slow delivery",Always,1.0,Skeptical
25–34,Female,High school,47363.0,East,30–60 mins,"Google Ads, Instagram, SMS",Electronics,Neutral,,Yes,Very likely,1213.0,Yes,Neutral,"Complicated checkout, Too many choices",Sometimes,5.0,
25–34,Female,Undergraduate,12012.0,East,2+ hours,SMS,Electronics,Likely,"Brand reputation, Product reviews",No,Likely,958.0,No,Uncomfortable,"Lack of trust, Slow delivery, Too many choices",Sometimes,5.0,Open but cautious
45–54,Prefer not to say,Postgraduate,12195.0,North,1–2 hours,Google Ads,Apparel,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,2681.0,Yes,Uncomfortable,"Lack of trust, Not enough discounts, Slow delivery",Often,3.0,Skeptical
18–24,Male,Undergraduate,14538.0,West,2+ hours,SMS,Groceries,Likely,"Brand reputation, Visual appeal",Yes,Neutral,959.0,Yes,Comfortable,Lack of trust,Sometimes,3.0,Neutral
25–34,Male,Postgraduate,39227.0,South,1–2 hours,Other,Groceries,Neutral,"Brand reputation, Product reviews",No,Likely,449.0,Maybe,Very comfortable,,Sometimes,1.0,Open but cautious
35–44,Female,Postgraduate,10928.0,North,<30 mins,Instagram,Electronics,Unlikely,"Brand reputation, Personalization",Yes,Unlikely,936.0,No,Uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Rarely,5.0,Skeptical
18–24,Female,Undergraduate,38614.0,West,1–2 hours,SMS,Apparel,Likely,"Product reviews, Visual appeal",Yes,Neutral,2691.0,Yes,Neutral,Others,Sometimes,5.0,Open but cautious
18–24,Male,Other,23010.0,West,30–60 mins,SMS,Groceries,Likely,"Discounts/Offers, Product reviews",No,Likely,2108.0,Yes,Very comfortable,"Not enough discounts, Others, Slow delivery",Often,3.0,Open but cautious
25–34,Female,High school,34210.0,South,1–2 hours,"Email, Other, SMS",Other,Likely,"Personalization, Product reviews",No,Neutral,1163.0,Maybe,Uncomfortable,Too many choices,Sometimes,3.0,Disinterested
18–24,Male,High school,19484.0,South,30–60 mins,"Other, SMS",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Likely,538.0,No,Very comfortable,Complicated checkout,Sometimes,4.0,Disinterested
45–54,Male,High school,35030.0,South,2+ hours,"Facebook, Other, SMS",Apparel,Likely,"Friend recommendations, Product reviews",No,Very unlikely,1660.0,No,Neutral,Lack of trust,Sometimes,5.0,Open but cautious
45–54,Female,Postgraduate,10077.0,North,30–60 mins,Other,Apparel,Unlikely,"Discounts/Offers, Visual appeal",No,Likely,489.0,Yes,Neutral,"Lack of trust, Not enough discounts, Slow delivery",Often,5.0,Excited
35–44,Female,Undergraduate,193718.0,Central/Other,30–60 mins,"Facebook, Google Ads, Other",Electronics,Likely,"Friend recommendations, Visual appeal",No,Neutral,1303.0,Yes,Neutral,"Others, Slow delivery",Rarely,4.0,Open but cautious
45–54,Female,High school,43868.0,South,2+ hours,"Facebook, Google Ads",Apparel,Likely,"Personalization, Product reviews",Yes,Neutral,1572.0,Maybe,Neutral,"Others, Too many choices",Sometimes,5.0,Excited
45–54,Male,Undergraduate,36153.0,Central/Other,<30 mins,"Email, Facebook",Electronics,Very likely,"Brand reputation, Product reviews",Yes,Neutral,424.0,No,Neutral,"Not enough discounts, Others",Rarely,1.0,Excited
18–24,Female,Undergraduate,9119.0,North,1–2 hours,Instagram,Groceries,Very likely,"Friend recommendations, Visual appeal",No,Neutral,955.0,Yes,Very comfortable,"Complicated checkout, Too many choices",Sometimes,3.0,Open but cautious
45–54,Male,High school,19549.0,Central/Other,1–2 hours,"Email, Other, SMS",Electronics,Unlikely,"Friend recommendations, Personalization",No,Likely,1378.0,No,Comfortable,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,3.0,Disinterested
25–34,Male,Postgraduate,16874.0,East,2+ hours,"Facebook, Google Ads, SMS",Electronics,Likely,"Personalization, Product reviews",Yes,Neutral,1508.0,Maybe,Comfortable,Too many choices,Never,3.0,Skeptical
45–54,Female,Postgraduate,12444.0,Central/Other,2+ hours,Facebook,Electronics,Very unlikely,"Discounts/Offers, Visual appeal",Yes,Likely,1550.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,2.0,Open but cautious
45–54,Non-binary/Other,Undergraduate,12298.0,South,2+ hours,Google Ads,Electronics,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,680.0,Yes,Neutral,"Lack of trust, Others, Too many choices",Sometimes,1.0,Open but cautious
25–34,Female,Postgraduate,8807.0,,<30 mins,"Facebook, Google Ads",Apparel,Likely,"Brand reputation, Discounts/Offers",Yes,Unlikely,790.0,No,Comfortable,Slow delivery,Rarely,1.0,Excited
